City,Latitude,Longitude
ADELAIDE,-34.928661,138.598633
ALBURY,-36.07494,146.923935
ALICE SPRINGS,-23.697479,133.883621
BRISBANE,-27.47101,153.024292
BROOME,-17.955379,122.23922
CANBERRA,-35.27603,149.13435
COFFS HARBOUR,-30.296261,153.11351
DARWIN,-12.45722,130.836639
DEVONPORT,-41.176949,146.351517
DUBBO,-32.24295,148.604843
GOLD COAST,-28.00029,153.430878
HOBART,-42.883209,147.331665
KALGOORLIE,-34.884722,118.013056
KARRATHA,-20.73649,116.84638
LAUNCESTON,-41.438759,147.134674
MELBOURNE,-37.6709,144.8431
PERTH,-31.95224,115.861397
SUNSHINE COAST,-33.112411,151.561584
SYDNEY,-33.861481,151.205475
CAIRNS,-16.92304,145.766251
BALLINA,-28.86414,153.565414
HERVEY BAY,-25.285,152.873
PORT MACQUARIE,-31.43084,152.908936
NEWCASTLE,-32.933333,151.716667
HAMILTON ISLAND,-20.34602,148.951935
AYERS ROCK,-36.8,144.516667
GERALDTON,-28.778971,114.614594
BUNDABERG,-24.866211,152.3479
ARMIDALE,-30.50828,151.671234
PROSERPINE,-20.4011,148.5802
